sample	non_missing_calls
#CHROM	1103
ANN02033-RA	1103
GWHTBOWM027404	1103
aba_locus_5896_iso_1_len_1047_ver_1	1103
aba_locus_5896_iso_2_len_744_ver_1c	1103
aba_locus_5896_iso_3_len_1509_ver_1	1103
